2018-Nov-29 13:41:52.775171 INFO    [daemon] qash v0.1.0.0000 (Pluto)
2018-Nov-29 13:41:52.775386 INFO    [daemon] Module folder: ./qashd
2018-Nov-29 13:41:52.776382 INFO    [daemon] Initializing p2p server...
2018-Nov-29 13:41:52.776536 INFO    [node_server] Generated new peer ID: 16229651005535028940
2018-Nov-29 13:41:52.776587 INFO    [node_server] Network: 2a15de1a-91fa-56ab-8578-7b5cf570f724
2018-Nov-29 13:41:52.776634 INFO    [node_server] Binding on 0.0.0.0:2233
2018-Nov-29 13:41:52.776701 INFO    [node_server] Net service binded on 0.0.0.0:2233
2018-Nov-29 13:41:52.776743 INFO    [node_server] Attempting to add IGD port mapping.
2018-Nov-29 13:41:53.958356 INFO    [node_server] Added IGD port mapping.
2018-Nov-29 13:41:53.958630 INFO    [daemon] P2p server initialized OK
2018-Nov-29 13:41:53.958775 INFO    [daemon] Initializing core...
2018-Nov-29 13:41:53.959186 INFO    [Blockchain] Blockchain not loaded, generating genesis block.
2018-Nov-29 13:41:54.012672 INFO    [Blockchain] Blockchain initialized. last block: 0, d2339.h13.m41.s54 time ago, current difficulty: 1
2018-Nov-29 13:41:54.012755 INFO    [daemon] Core initialized OK
2018-Nov-29 13:41:54.012877 INFO    [daemon] Starting core rpc server on address 127.0.0.1:2234
2018-Nov-29 13:41:54.012973 INFO    [daemon] Core rpc server started ok
2018-Nov-29 13:41:54.013026 INFO    [daemon] Starting p2p net loop...
2018-Nov-29 13:41:54.013067 INFO    [node_server] Starting node_server
2018-Nov-29 13:41:54.165318 INFO    [protocol] 
2018-Nov-29 13:41:54.165318 INFO    [protocol] **********************************************************************
2018-Nov-29 13:41:54.165318 INFO    [protocol] You are now synchronized with the network. You may now start simplewallet.
2018-Nov-29 13:41:54.165318 INFO    [protocol] 
2018-Nov-29 13:41:54.165318 INFO    [protocol] Please note, that the blockchain will be saved only after you quit the daemon with "exit" command or if you use "save" command.
2018-Nov-29 13:41:54.165318 INFO    [protocol] Otherwise, you will possibly need to synchronize the blockchain again.
2018-Nov-29 13:41:54.165318 INFO    [protocol] 
2018-Nov-29 13:41:54.165318 INFO    [protocol] Use "help" command to see the list of available commands.
2018-Nov-29 13:41:54.165318 INFO    [protocol] **********************************************************************
2018-Nov-29 13:41:54.167219 INFO    [core] 
2018-Nov-29 13:41:54.167219 INFO    [core] **********************************************************************
2018-Nov-29 13:41:54.167219 INFO    [core] The daemon will start synchronizing with the network. It may take up to several hours.
2018-Nov-29 13:41:54.167219 INFO    [core] 
2018-Nov-29 13:41:54.167219 INFO    [core] You can set the level of process detailization* through "set_log <level>" command*, where <level> is between 0 (no details) and 4 (very verbose).
2018-Nov-29 13:41:54.167219 INFO    [core] 
2018-Nov-29 13:41:54.167219 INFO    [core] Use "help" command to see the list of available commands.
2018-Nov-29 13:41:54.167219 INFO    [core] 
2018-Nov-29 13:41:54.167219 INFO    [core] Note: in case you need to interrupt the process, use "exit" command. Otherwise, the current progress won't be saved.
2018-Nov-29 13:41:54.167219 INFO    [core] **********************************************************************
